embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
facenet,marlin,0.6985645933014354,0.8492822966507177,0.15071770334928236,0.3632887189292543,0.4474187380497132,0.08413001912045892,0.6488888888888888,0.70506454816286,0.05617565927397117,63,78
facenet,senet,0.6985645933014354,0.9521531100478469,0.2535885167464115,0.3632887189292543,0.4531548757170172,0.08986615678776289,0.6488888888888888,0.7559354226020892,0.10704653371320039,106,30
facenet,resnet,0.6985645933014354,0.9090909090909091,0.21052631578947367,0.3632887189292543,0.5659655831739963,0.20267686424474196,0.6488888888888888,0.6946983546617916,0.04580946577290279,88,43
facenet,ridnet_pca_128_face,0.6985645933014354,0.9282296650717703,0.2296650717703349,0.3632887189292543,0.4397705544933078,0.07648183556405352,0.6488888888888888,0.749034749034749,0.10014586014586013,96,33
facenet,ridnet_pca_128,0.6985645933014354,0.9210526315789473,0.22248803827751196,0.3632887189292543,0.4474187380497132,0.08413001912045892,0.6488888888888888,0.742526518804243,0.09363762991535418,93,34
facenet,ridnet_pca_256_face,0.6985645933014354,0.9545454545454546,0.2559808612440192,0.3632887189292543,0.5009560229445507,0.13766730401529637,0.6488888888888888,0.7395736793327155,0.0906847904438266,107,20
facenet,ridnet_pca_256,0.6985645933014354,0.937799043062201,0.23923444976076558,0.3632887189292543,0.4703632887189293,0.107074569789675,0.6488888888888888,0.7424242424242424,0.09353535353535358,100,38
marlin,senet,0.6626794258373205,0.9401913875598086,0.27751196172248804,0.19311663479923513,0.2906309751434034,0.09751434034416828,0.6959798994974874,0.8161993769470405,0.12021947744955308,116,25
marlin,resnet,0.6626794258373205,0.868421052631579,0.20574162679425845,0.19311663479923513,0.44933078393881454,0.2562141491395794,0.6959798994974874,0.7145669291338582,0.018587029636370822,86,26
marlin,ridnet_pca_128_face,0.6626794258373205,0.9234449760765551,0.26076555023923453,0.19311663479923513,0.28489483747609945,0.09177820267686432,0.6959798994974874,0.8100734522560336,0.11409355275854616,109,31
