embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
resnet,ridnet_pca_128,0.80622009569378,0.930622009569378,0.12440191387559807,0.34990439770554493,0.4225621414913958,0.07265774378585088,0.7185501066098081,0.7568093385214008,0.03825923191159264,52,38
resnet,ridnet_pca_128_face,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.41682600382409174,0.0669216061185468,0.7185501066098081,0.7674418604651163,0.048891753855308195,59,41
resnet,ridnet_pca_256,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.4397705544933078,0.08986615678776289,0.7185501066098081,0.7586206896551724,0.04007058304536426,59,42
resnet,ridnet_pca_256_face,0.80622009569378,0.9569377990430622,0.15071770334928225,0.34990439770554493,0.47609942638623326,0.12619502868068833,0.7185501066098081,0.7497656982193065,0.031215591609498383,63,21
ridnet_pca_128,ridnet_pca_128_face,0.8397129186602871,0.8923444976076556,0.052631578947368474,0.15105162523900573,0.20841300191204593,0.0573613766730402,0.8278301886792453,0.8288888888888889,0.0010587002096436038,22,18
ridnet_pca_128,ridnet_pca_256,0.8397129186602871,0.9282296650717703,0.08851674641148322,0.15105162523900573,0.2466539196940727,0.09560229445506696,0.8278301886792453,0.8299465240641711,0.002116335384925838,37,34
ridnet_pca_128,ridnet_pca_256_face,0.8397129186602871,0.9401913875598086,0.1004784688995215,0.15105162523900573,0.2963671128107075,0.14531548757170176,0.8278301886792453,0.8136645962732919,-0.014165592405953387,42,14
ridnet_pca_128_face,ridnet_pca_256,0.8492822966507177,0.9210526315789473,0.0717703349282296,0.13575525812619504,0.24282982791586993,0.10707456978967489,0.8412322274881516,0.8279569892473119,-0.01327523824083976,30,31
ridnet_pca_128_face,ridnet_pca_256_face,0.8492822966507177,0.9401913875598086,0.09090909090909083,0.13575525812619504,0.28680688336520077,0.15105162523900573,0.8412322274881516,0.81789802289282,-0.023334204595331642,38,14
ridnet_pca_256,ridnet_pca_256_face,0.84688995215311,0.930622009569378,0.08373205741626799,0.1644359464627151,0.28298279158699813,0.11854684512428304,0.8251748251748252,0.8146596858638744,-0.010515139310950827,35,10
