embedding,roc_auc,accuracy,recall,fpr,f1,threshold,confusion_matrix
facenet,0.7106086526937891,0.6641870350690755,0.6985645933014354,0.3632887189292543,0.6488888888888888,0.5052486944577459,"TN:333, FP:190, FN:126, TP:292"
marlin,0.8015772091448855,0.742826780021254,0.6626794258373205,0.1931166347992352,0.6959798994974874,0.5759633845722546,"TN:422, FP:101, FN:141, TP:277"
senet,0.9140265490773691,0.8703506907545164,0.8803827751196173,0.13766730401529637,0.8578088578088578,0.5263096701054225,"TN:451, FP:72, FN:50, TP:368"
arcface,0.7200911195074423,0.6716259298618491,0.784688995215311,0.4187380497131931,0.6797927461139897,0.4738519518041998,"TN:304, FP:219, FN:90, TP:328"
magface,0.5609430320107588,0.5249734325185972,0.7942583732057417,0.6902485659655831,0.5976597659765976,0.4173054669970938,"TN:162, FP:361, FN:86, TP:332"
resnet,0.7866650809188799,0.7194473963868225,0.80622009569378,0.34990439770554493,0.7185501066098081,0.3692374409211065,"TN:340, FP:183, FN:81, TP:337"
ridnet_pca_128,0.9128372382372583,0.844845908607864,0.8397129186602871,0.15105162523900573,0.8278301886792453,0.5648120543738209,"TN:444, FP:79, FN:67, TP:351"
ridnet_pca_128_face,0.9256383397220673,0.8575982996811902,0.8492822966507177,0.13575525812619502,0.8412322274881516,0.5438991373845441,"TN:452, FP:71, FN:63, TP:355"
ridnet_pca_256,0.8877496409196117,0.8405951115834219,0.84688995215311,0.16443594646271512,0.8251748251748252,0.996382437972273,"TN:437, FP:86, FN:64, TP:354"
ridnet_pca_256_face,0.8835161517560632,0.8342189160467588,0.9066985645933014,0.2237093690248566,0.8293216630196937,0.0005873105959841,"TN:406, FP:117, FN:39, TP:379"
