,facenet_prob,marlin_prob,senet_prob,arcface_prob,magface_prob,resnet_prob,ridnet_pca_128_prob,ridnet_pca_128_face_prob,ridnet_pca_256_prob,ridnet_pca_256_face_prob
facenet_prob,1.0,0.4417709191200783,0.3141829645179291,0.5289083177746269,0.09390624204645676,0.29329635333578014,0.338536625569632,0.3469110308346576,0.27600498898935116,0.30265237484637025
marlin_prob,0.4417709191200783,1.0,0.4597452560997386,0.46608963393715447,0.05245551235208714,0.48151561043092633,0.4749935031959114,0.46418799515939674,0.38741457106433164,0.3968336111062584
senet_prob,0.3141829645179291,0.4597452560997386,1.0,0.36176688840607896,0.07823111201831065,0.4636872711726291,0.6505329905033962,0.6671251099878156,0.6215569039307326,0.5779186252054066
arcface_prob,0.5289083177746269,0.46608963393715447,0.36176688840607896,1.0,0.06316556501224381,0.3698004925762184,0.3765171033645632,0.37620726214542377,0.28737754026239765,0.30774430418634136
magface_prob,0.09390624204645676,0.05245551235208714,0.07823111201831065,0.06316556501224381,1.0,0.023212398733306137,0.10890323974661632,0.11850855374746112,0.09065713793400698,0.09360490485981884
resnet_prob,0.29329635333578014,0.48151561043092633,0.4636872711726291,0.3698004925762184,0.023212398733306137,1.0,0.5075657369221306,0.49873209131966695,0.4316228277538166,0.43541086328783885
ridnet_pca_128_prob,0.338536625569632,0.4749935031959114,0.6505329905033962,0.3765171033645632,0.10890323974661632,0.5075657369221306,1.0,0.8301050764890403,0.6750266065221466,0.68178703504278
ridnet_pca_128_face_prob,0.3469110308346576,0.46418799515939674,0.6671251099878156,0.37620726214542377,0.11850855374746112,0.49873209131966695,0.8301050764890403,1.0,0.6868076127788945,0.6986793614816806
ridnet_pca_256_prob,0.27600498898935116,0.38741457106433164,0.6215569039307326,0.28737754026239765,0.09065713793400698,0.4316228277538166,0.6750266065221466,0.6868076127788945,1.0,0.7383514972558183
ridnet_pca_256_face_prob,0.30265237484637025,0.3968336111062584,0.5779186252054066,0.30774430418634136,0.09360490485981884,0.43541086328783885,0.68178703504278,0.6986793614816806,0.7383514972558183,1.0
