embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
facenet,marlin,0.6985645933014354,0.8492822966507177,0.15071770334928236,0.3632887189292543,0.4474187380497132,0.08413001912045892,0.6488888888888888,0.70506454816286,0.05617565927397117,63,78
facenet,senet,0.6985645933014354,0.9521531100478469,0.2535885167464115,0.3632887189292543,0.4531548757170172,0.08986615678776289,0.6488888888888888,0.7559354226020892,0.10704653371320039,106,30
facenet,arcface,0.6985645933014354,0.8899521531100478,0.19138755980861244,0.3632887189292543,0.5506692160611855,0.18738049713193117,0.6488888888888888,0.6901669758812616,0.04127808699237279,80,44
facenet,magface,0.6985645933014354,0.9354066985645934,0.23684210526315796,0.3632887189292543,0.7877629063097514,0.42447418738049714,0.6488888888888888,0.6404586404586404,-0.008430248430248422,99,59
marlin,senet,0.6626794258373205,0.9401913875598086,0.27751196172248804,0.19311663479923513,0.2906309751434034,0.09751434034416828,0.6959798994974874,0.8161993769470405,0.12021947744955308,116,25
marlin,arcface,0.6626794258373205,0.9090909090909091,0.24641148325358853,0.19311663479923513,0.48565965583174,0.29254302103250485,0.6959798994974874,0.7224334600760456,0.02645356057855819,103,52
marlin,magface,0.6626794258373205,0.9521531100478469,0.2894736842105263,0.19311663479923513,0.7361376673040153,0.5430210325047802,0.6959798994974874,0.6627810158201499,-0.033198883677337476,121,66
senet,arcface,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.5009560229445507,0.3632887189292543,0.8578088578088578,0.7348837209302326,-0.12292513687862527,27,67
senet,magface,0.8803827751196173,0.9856459330143541,0.10526315789473684,0.13766730401529637,0.7208413001912046,0.5831739961759083,0.8578088578088578,0.6826843413421707,-0.17512451646668714,44,80
arcface,magface,0.784688995215311,0.9545454545454546,0.1698564593301436,0.41873804971319306,0.8126195028680688,0.39388145315487577,0.6797927461139897,0.642512077294686,-0.0372806688193037,71,67
